total_ps_budget,island_amount,pRef_origin_method,miner_algorith,population_size,ps_budget_per_run,mined_count,target_count,found_count,uses_custom_crowding_operator,runtime
continuous,2 5 10 20,GA SA uniform,MOEAD NSGAII NSGAIII,continuous,continuous,continuous,continuous,continuous,False True,continuous
,,,,,,,,,,
10000.0,5,uniform,NSGAII,100.0,1000.0,50.0,30.0,4.0,False,15.388915777206421
10000.0,5,uniform,NSGAII,200.0,1000.0,90.0,30.0,8.0,False,16.904662132263184
10000.0,5,uniform,NSGAII,500.0,1000.0,175.0,30.0,4.0,False,16.677634477615356
10000.0,5,uniform,NSGAII,100.0,1000.0,50.0,30.0,5.0,True,17.19550395011902
10000.0,5,uniform,NSGAII,200.0,1000.0,90.0,30.0,3.0,True,13.889460802078247
10000.0,5,uniform,NSGAII,500.0,1000.0,182.0,30.0,3.0,True,14.174595832824707
10000.0,5,uniform,NSGAIII,100.0,1000.0,49.0,30.0,2.0,False,14.32253623008728
10000.0,5,uniform,NSGAIII,200.0,1000.0,54.0,30.0,3.0,False,13.734567880630493
10000.0,5,uniform,NSGAIII,500.0,1000.0,33.0,30.0,0.0,False,15.792015314102173
10000.0,5,uniform,NSGAIII,100.0,1000.0,50.0,30.0,0.0,True,13.770272731781006
10000.0,5,uniform,NSGAIII,200.0,1000.0,90.0,30.0,0.0,True,13.539697408676147
10000.0,5,uniform,NSGAIII,500.0,1000.0,200.0,30.0,0.0,True,12.90898585319519
10000.0,5,uniform,MOEAD,100.0,1000.0,50.0,30.0,2.0,False,20.924110412597656
10000.0,5,uniform,MOEAD,200.0,1000.0,100.0,30.0,2.0,False,20.80646800994873
10000.0,5,uniform,MOEAD,500.0,1000.0,228.0,30.0,1.0,False,20.717747926712036
10000.0,5,uniform,MOEAD,100.0,1000.0,50.0,30.0,0.0,True,20.80212903022766
10000.0,5,uniform,MOEAD,200.0,1000.0,100.0,30.0,0.0,True,21.326404333114624
10000.0,5,uniform,MOEAD,500.0,1000.0,250.0,30.0,2.0,True,23.460464239120483
10000.0,5,uniform,NSGAII,100.0,1000.0,50.0,30.0,6.0,False,26.862440586090088
10000.0,5,uniform,NSGAII,200.0,1000.0,90.0,30.0,7.0,False,38.916404247283936
10000.0,5,uniform,NSGAII,500.0,1000.0,172.0,30.0,7.0,False,37.65563917160034
