kind,depth,runtime_seconds,problem,pRef_method,pRef_size,mse,mae,r_sq,evs,ps_budget,ps_population,avoid_ancestors,metrics,cp
naive,3,1.004,SAT_S,CRO,10000,9.284649525469419,2.4009450643253456,0.39260481516885604,0.3998234818988773,,,,,
naive,4,1.004,SAT_S,CRO,10000,8.408765336451493,2.304180700620329,0.44990453740606373,0.4513559743468818,,,,,
naive,5,1.004,SAT_S,CRO,10000,8.477953265422927,2.1997271518878163,0.44537831217910084,0.44625512362201525,,,,,
naive,3,2.264,SAT_S,BBO,10000,4.329518053592896,1.7452361452361451,0.4532878988447746,0.46902238914712946,,,,,
naive,4,2.264,SAT_S,BBO,10000,4.385155647972965,1.6796166601566311,0.4462622332279036,0.44663089865839134,,,,,
naive,5,2.264,SAT_S,BBO,10000,4.002748637429957,1.5283391593552018,0.4945508735898395,0.49455386477057295,,,,,
naive,3,5.824,SAT_S,ACO,10000,5.366046982103068,1.7956657568619636,0.20258796172955662,0.2612668346805799,,,,,
naive,4,5.824,SAT_S,ACO,10000,5.351002976470263,1.825675031183505,0.20482354990748664,0.3140726952283195,,,,,
naive,5,5.824,SAT_S,ACO,10000,4.014892057315759,1.5628365536902131,0.40337397910645423,0.4670307729028178,,,,,
naive,3,1.993,SAT_S,BRO,10000,7.217428248055089,2.079351429000477,0.26181261926931865,0.2681736835259937,,,,,
naive,4,1.993,SAT_S,BRO,10000,6.41208445518879,1.9774843790817553,0.3441819348498215,0.34843014141613093,,,,,
naive,5,1.993,SAT_S,BRO,10000,5.329839477257735,1.786098739660032,0.4548722746925685,0.4551585565358818,,,,,
naive,3,2.029,SAT_S,PSO,10000,5.5544892146735965,1.8754172578059218,0.47662135450882537,0.4786751468363075,,,,,
naive,4,2.029,SAT_S,PSO,10000,4.111622678398027,1.6548813734158558,0.6125772460758642,0.6158876190150042,,,,,
naive,5,2.029,SAT_S,PSO,10000,3.9551604103927978,1.5526920791626675,0.6273200976206514,0.6393563577249555,,,,,
naive,3,2.09,SAT_M,CRO,10000,28.26946086442786,3.4505000570678526,0.45362179344900566,0.4551013813440301,,,,,
naive,4,2.09,SAT_M,CRO,10000,26.757673908878086,3.1817530840629678,0.4828408666185212,0.48457309008382765,,,,,
naive,5,2.09,SAT_M,CRO,10000,21.077072954909884,2.598813559322034,0.5926327220856533,0.5932731423062464,,,,,
naive,3,5.37,SAT_M,BBO,10000,26.678111432828302,3.9984329411707096,0.48155658743266916,0.49032244194489905,,,,,
naive,4,5.37,SAT_M,BBO,10000,18.52328932346343,3.3492692991513375,0.640031590953952,0.6475616683731074,,,,,
naive,5,5.37,SAT_M,BBO,10000,16.995176038102418,3.28951622892717,0.6697278559405793,0.6742788535195854,,,,,
naive,3,13.865,SAT_M,ACO,10000,22.700325913738176,3.5221604686017014,0.5837227083534747,0.5841785756722162,,,,,
naive,4,13.865,SAT_M,ACO,10000,17.44650914118136,3.019041004849935,0.680066902934551,0.6800741945316461,,,,,
naive,5,13.865,SAT_M,ACO,10000,19.109609511502775,3.0180129242606872,0.6495690624839544,0.6496165317752413,,,,,
naive,3,4.163,SAT_M,BRO,10000,12.09113640155047,2.697312760501041,0.4184319743008419,0.41991205056243774,,,,,
naive,4,4.163,SAT_M,BRO,10000,8.711186172519342,2.30943934386926,0.581003209656932,0.581199326849058,,,,,
naive,5,4.163,SAT_M,BRO,10000,6.9431720757711615,2.023698347414596,0.6660424014670806,0.6661404852119834,,,,,
naive,3,4.117,SAT_M,PSO,10000,12.320189631909674,2.5262655240903076,0.5067897941474069,0.507821717370909,,,,,
naive,4,4.117,SAT_M,PSO,10000,12.716760795789694,2.5248388040994576,0.4909139877502491,0.4997370164502437,,,,,
naive,5,4.117,SAT_M,PSO,10000,11.43315784934042,2.4100462747594005,0.5423000534169277,0.5557820897562009,,,,,
naive,3,4.344,SAT_L,CRO,10000,35.5583181650693,4.140604843767216,0.6795758244364157,0.6796464789507746,,,,,
