kind,depth,ps_budget,ps_population,avoid_ancestors,metrics,problem,pRef_method,pRef_size,mse,mae,r_sq,evs,cp
ps,3,5000.0,100.0,False,simplicity variance,BT,ACO,10000,53.33471674391815,5.572481398480996,0.7448153929364886,0.7452894071197982,
ps,3,5000.0,100.0,False,simplicity variance estimated_atomicity,BT,ACO,10000,84.17234522849564,6.74049204340014,0.46420142765520145,0.46552515676849004,
ps,4,5000.0,100.0,False,simplicity variance,BT,ACO,10000,60.29302938747372,5.733565169597744,0.6717891685719017,0.699427589907959,
ps,4,5000.0,100.0,False,simplicity variance estimated_atomicity,BT,ACO,10000,60.60907828962081,6.109577515645577,0.6267909039599062,0.6287042593857672,
ps,5,5000.0,100.0,False,simplicity variance,BT,ACO,10000,53.83120197953295,5.284631039845714,0.6536732588817553,0.6555727854291338,
ps,5,5000.0,100.0,False,simplicity variance estimated_atomicity,BT,ACO,10000,52.40543838550503,5.4568018179315825,0.6633522243308605,0.6654570117968588,
ps,3,5000.0,100.0,False,simplicity variance,BT,BBO,10000,29.57033855919869,3.0401655768521367,0.9143127696992556,0.9154420523233988,
ps,3,5000.0,100.0,False,simplicity variance estimated_atomicity,BT,BBO,10000,51.42021457750236,5.054584866424901,0.8651590304347521,0.86999787454199,
ps,4,5000.0,100.0,False,simplicity variance,BT,BBO,10000,24.216139690047203,3.1618440915683115,0.9169624707431938,0.9170431505576925,
ps,4,5000.0,100.0,False,simplicity variance estimated_atomicity,BT,BBO,10000,29.980188262680212,3.2027171805040204,0.9143546238393994,0.9143547655897681,
ps,5,5000.0,100.0,False,simplicity variance,BT,BBO,10000,20.444192191681772,2.721731915241836,0.9502545117228557,0.9503507908578168,
ps,5,5000.0,100.0,False,simplicity variance estimated_atomicity,BT,BBO,10000,33.93117299170453,3.0141705627538933,0.8887364105424561,0.8892379637235331,
ps,3,5000.0,100.0,False,simplicity variance,BT,BRO,10000,20.23048593205116,3.517183682663114,0.436291503000829,0.4367301388212653,
ps,3,5000.0,100.0,False,simplicity variance estimated_atomicity,BT,BRO,10000,24.88084596572546,3.9059652437794834,0.16335190750807915,0.16352602863680954,
ps,4,5000.0,100.0,False,simplicity variance,BT,BRO,10000,27.582702423603365,4.1160515929367785,0.23203381938145884,0.23338177866578158,
ps,4,5000.0,100.0,False,simplicity variance estimated_atomicity,BT,BRO,10000,30.9361184677071,4.396026585614248,0.2567087311916729,0.2567184208817107,
ps,5,5000.0,100.0,False,simplicity variance,BT,BRO,10000,22.048763803140314,3.7216444161515514,0.28014740338488686,0.2801699276058459,
ps,5,5000.0,100.0,False,simplicity variance estimated_atomicity,BT,BRO,10000,15.617371140680191,2.951847334081449,0.5070621732612726,0.5136670515915365,
ps,3,5000.0,100.0,False,simplicity variance,BT,CRO,10000,10.7313577907524,2.0710085125488065,0.8850201630846578,0.8852545680138866,
ps,3,5000.0,100.0,False,simplicity variance estimated_atomicity,BT,CRO,10000,15.333889665122614,2.830598807109675,0.8652611345479426,0.8652885463817199,
ps,4,5000.0,100.0,False,simplicity variance,BT,CRO,10000,25.017337838842494,3.2647371301719836,0.8697257034540233,0.878940045023237,
