kind,depth,ps_budget,ps_population,avoid_ancestors,metrics,problem,pRef_method,pRef_size,runtime_seconds,mse,mae,r_sq,evs,cp
ps,3,5000.0,100.0,False,simplicity variance,BT,ACO,10000,192.815,32.76672145453968,4.467218966134317,0.7886863789746268,0.7888384486021396,
ps,3,5000.0,100.0,False,simplicity variance estimated_atomicity,BT,ACO,10000,193.863,42.93232693926951,5.21091127622015,0.6985245683830523,0.7018001341515672,
ps,4,5000.0,100.0,False,simplicity variance,BT,ACO,10000,263.916,33.542648801203875,4.589798948356715,0.7826417216796491,0.7827870618383537,
ps,4,5000.0,100.0,False,simplicity variance estimated_atomicity,BT,ACO,10000,253.667,69.55649238027142,6.6774273541008435,0.5592575368388372,0.5659372818076229,
ps,5,5000.0,100.0,False,simplicity variance,BT,ACO,10000,342.126,27.4228983073059,4.163482552313403,0.8567906359943611,0.8579667574311904,
ps,5,5000.0,100.0,False,simplicity variance estimated_atomicity,BT,ACO,10000,348.406,74.81106449112033,6.747368247482067,0.5430893189729422,0.5497223317465716,
ps,3,5000.0,100.0,False,simplicity variance,BT,BBO,10000,107.508,26.04055719637248,3.4900436307068796,0.9151584277365346,0.915766510887379,
ps,3,5000.0,100.0,False,simplicity variance estimated_atomicity,BT,BBO,10000,116.953,38.684819729288094,3.9297676940449158,0.867866776094676,0.8679048866183179,
ps,4,5000.0,100.0,False,simplicity variance,BT,BBO,10000,174.128,26.962115755464556,3.24305826916195,0.932871163000529,0.9329336298256934,
ps,4,5000.0,100.0,False,simplicity variance estimated_atomicity,BT,BBO,10000,189.794,31.40308937448121,2.6394952944327232,0.8834111793860568,0.8837935077651098,
ps,5,5000.0,100.0,False,simplicity variance,BT,BBO,10000,297.465,17.952151510329813,2.709918356250731,0.9540839562743761,0.9541896766435094,
ps,5,5000.0,100.0,False,simplicity variance estimated_atomicity,BT,BBO,10000,333.856,28.145088650532294,3.258664697690729,0.9262097845338872,0.9264353198390416,
ps,3,5000.0,100.0,False,simplicity variance,BT,BRO,10000,94.66,28.554466107516998,4.224700177792985,0.27790277321351786,0.2783179276857528,
ps,3,5000.0,100.0,False,simplicity variance estimated_atomicity,BT,BRO,10000,158.032,25.712855486411968,3.938665991905983,0.4754336455702117,0.475583373892398,
ps,4,5000.0,100.0,False,simplicity variance,BT,BRO,10000,161.668,20.703554569976227,3.5148003045648664,0.31572476431064533,0.3157296502954927,
ps,4,5000.0,100.0,False,simplicity variance estimated_atomicity,BT,BRO,10000,238.044,26.511161278326963,4.0058707937006925,0.21482058031157625,0.2151347257236077,
ps,5,5000.0,100.0,False,simplicity variance,BT,BRO,10000,5985.061,7.724516176681163,2.030160420778298,0.6773961022591777,0.6778430824036972,
ps,5,5000.0,100.0,False,simplicity variance estimated_atomicity,BT,BRO,10000,345.097,22.500315784127167,3.6557888714133955,0.2076499944536777,0.20777508921370058,
ps,3,5000.0,100.0,False,simplicity variance,BT,CRO,10000,69.685,19.93664703652415,2.4720652306328064,0.9067234101838318,0.907302384236134,
ps,3,5000.0,100.0,False,simplicity variance estimated_atomicity,BT,CRO,10000,75.176,33.42463685798171,4.07730678946367,0.865341904733675,0.865542859634688,
ps,4,5000.0,100.0,False,simplicity variance,BT,CRO,10000,136.64,10.656785843570198,2.216869621310401,0.9121359500395981,0.9185158699454475,
ps,4,5000.0,100.0,False,simplicity variance estimated_atomicity,BT,CRO,10000,133.536,15.448276245105639,2.7008417828394062,0.9308270105005466,0.933457709602679,
ps,5,5000.0,100.0,False,simplicity variance,BT,CRO,10000,258.191,13.105559876249107,1.8848414420341917,0.9307087123744741,0.9307332816262837,
ps,5,5000.0,100.0,False,simplicity variance estimated_atomicity,BT,CRO,10000,232.344,26.47178197860089,2.9456676702083757,0.8721232698882886,0.8735594149690216,
ps,3,5000.0,100.0,False,simplicity variance,BT,PSO,10000,80.628,40.26703776296775,4.859647406280891,0.7608888716037487,0.7609330207894957,
ps,3,5000.0,100.0,False,simplicity variance estimated_atomicity,BT,PSO,10000,88.323,48.02670534936906,4.678579935110528,0.7891191571459327,0.789270922019082,
