problem,pRef_method,ps_budget,ps_population,metrics,depth,order
BT,ACO,5000,100,simplicity variance,0,2
BT,ACO,5000,100,simplicity variance,1,2
BT,ACO,5000,100,simplicity variance,1,1
BT,ACO,5000,100,simplicity variance,2,2
BT,ACO,5000,100,simplicity variance,2,1
BT,ACO,5000,100,simplicity variance,2,2
BT,ACO,5000,100,simplicity variance,2,2
BT,ACO,5000,100,simplicity variance estimated_atomicity,0,3
BT,ACO,5000,100,simplicity variance estimated_atomicity,1,8
BT,ACO,5000,100,simplicity variance estimated_atomicity,1,1
BT,ACO,5000,100,simplicity variance estimated_atomicity,2,1
BT,ACO,5000,100,simplicity variance estimated_atomicity,2,1
BT,ACO,5000,100,simplicity variance estimated_atomicity,2,1
BT,ACO,5000,100,simplicity variance estimated_atomicity,2,3
BT,ACO,5000,100,simplicity variance,0,2
BT,ACO,5000,100,simplicity variance,1,3
BT,ACO,5000,100,simplicity variance,1,2
BT,ACO,5000,100,simplicity variance,2,2
BT,ACO,5000,100,simplicity variance,2,2
BT,ACO,5000,100,simplicity variance,2,2
BT,ACO,5000,100,simplicity variance,2,2
BT,ACO,5000,100,simplicity variance,3,3
BT,ACO,5000,100,simplicity variance,3,4
BT,ACO,5000,100,simplicity variance,3,2
BT,ACO,5000,100,simplicity variance,3,1
BT,ACO,5000,100,simplicity variance,3,1
BT,ACO,5000,100,simplicity variance,3,2
BT,ACO,5000,100,simplicity variance,3,2
BT,ACO,5000,100,simplicity variance,3,2
BT,ACO,5000,100,simplicity variance estimated_atomicity,0,3
BT,ACO,5000,100,simplicity variance estimated_atomicity,1,1
BT,ACO,5000,100,simplicity variance estimated_atomicity,1,2
BT,ACO,5000,100,simplicity variance estimated_atomicity,2,3
BT,ACO,5000,100,simplicity variance estimated_atomicity,2,2
BT,ACO,5000,100,simplicity variance estimated_atomicity,2,2
BT,ACO,5000,100,simplicity variance estimated_atomicity,2,2
BT,ACO,5000,100,simplicity variance estimated_atomicity,3,16
BT,ACO,5000,100,simplicity variance estimated_atomicity,3,2
BT,ACO,5000,100,simplicity variance estimated_atomicity,3,2
BT,ACO,5000,100,simplicity variance estimated_atomicity,3,10
BT,ACO,5000,100,simplicity variance estimated_atomicity,3,2
BT,ACO,5000,100,simplicity variance estimated_atomicity,3,2
